"基準価額一覧"
""
"ファンド名","大和－ｉＦｒｅｅＮＥＸＴ　インド株インデックス"
""
"検索期間","検索開始年月日","検索終了年月日"
"","20230118","20230818"
""
"年月日","基準価額（円）","前日比（円）","純資産総額（百万円）"
"2023/08/17","12089","85","27727"
"2023/08/16","12004","-29","27532"
"2023/08/15","12033","-14","26985"
"2023/08/14","12047","2","26560"
"2023/08/10","12045","94","26555"
"2023/08/09","11951","-27","26013"
"2023/08/08","11978","189","25512"
"2023/08/07","11789","-51","24794"
"2023/08/04","11840","-156","24607"
"2023/08/03","11996","-168","24628"
"2023/08/02","12164","70","24386"
"2023/08/01","12094","185","23540"
"2023/07/31","11909","13","22841"
"2023/07/28","11896","-82","22462"
"2023/07/27","11978","-49","22181"
"2023/07/26","12027","-54","21748"
"2023/07/25","12081","-78","20913"
"2023/07/24","12159","74","20623"
"2023/07/21","12085","109","20044"
"2023/07/20","11976","97","19345"
"2023/07/19","11879","43","18428"
"2023/07/18","11836","225","18227"
"2023/07/14","11611","-7","17581"
"2023/07/13","11618","-107","17363"
"2023/07/12","11725","-53","17337"
"2023/07/11","11778","-52","16835"
"2023/07/10","11830","-258","16559"
"2023/07/07","12088","-30","16212"
"2023/07/06","12118","-40","15418"
"2023/07/05","12158","22","14825"
"2023/07/04","12136","140","13229"
"2023/07/03","11996","33","11440"
"2023/06/30","11963","95","11408"
"2023/06/29","11868","110","11317"
"2023/06/28","11758","132","10901"
"2023/06/27","11626","-21","9980"
"2023/06/26","11647","-47","9637"
"2023/06/23","11694","55","9364"
"2023/06/22","11639","68","8999"
"2023/06/21","11571","-73","8582"
"2023/06/20","11644","4","8175"
"2023/06/19","11640","259","7859"
"2023/06/16","11381","-67","7417"
"2023/06/15","11448","99","7222"
"2023/06/14","11349","94","7015"
"2023/06/13","11255","90","6500"
"2023/06/12","11165","-41","6200"
"2023/06/09","11206","-125","5879"
"2023/06/08","11331","132","5755"
"2023/06/07","11199","-26","5457"
"2023/06/06","11225","-34","4912"
"2023/06/05","11259","154","4927"
"2023/06/02","11105","-24","4659"
"2023/06/01","11129","-90","4452"
"2023/05/31","11219","-24","4282"
"2023/05/30","11243","47","3959"
"2023/05/29","11196","137","3816"
"2023/05/26","11059","67","3622"
"2023/05/25","10992","48","3488"
"2023/05/24","10944","31","3287"
"2023/05/23","10913","103","3024"
"2023/05/22","10810","-36","2887"
"2023/05/19","10846","4","2764"
"2023/05/18","10842","13","2648"
"2023/05/17","10829","-1","2511"
"2023/05/16","10830","37","2322"
"2023/05/15","10793","90","2293"
"2023/05/12","10703","23","2167"
"2023/05/11","10680","-44","2042"
"2023/05/10","10724","-72","1936"
"2023/05/09","10796","145","1653"
"2023/05/08","10651","-278","1422"
"2023/05/02","10929","165","1460"
"2023/05/01","10764","294","1381"
"2023/04/28","10470","78","1287"
"2023/04/27","10392","48","1219"
"2023/04/26","10344","-23","1167"
"2023/04/25","10367","103","1061"
"2023/04/24","10264","-19","1020"
"2023/04/21","10283","-23","926"
"2023/04/20","10306","-7","852"
"2023/04/19","10313","-54","765"
"2023/04/18","10367","-55","549"
"2023/04/17","10422","113","552"
"2023/04/14","10309","-17","498"
"2023/04/13","10326","21","506"
"2023/04/12","10305","69","472"
"2023/04/11","10236","29","402"
"2023/04/10","10207","102","401"
"2023/04/07","10105","87","369"
"2023/04/06","10018","21","300"
"2023/04/05","9997","7","299"
"2023/04/04","9990","-26","248"
"2023/04/03","10016","56","223"
"2023/03/31","9960","131","222"
"2023/03/30","9829","145","200"
"2023/03/29","9684","66","180"
"2023/03/28","9618","69","138"
"2023/03/27","9549","-114","131"
"2023/03/24","9663","-9","129"
"2023/03/23","9672","-112","118"
"2023/03/22","9784","-28","112"
"2023/03/20","9812","47","108"
"2023/03/17","9765","42","103"
"2023/03/16","9723","-216","98"
"2023/03/15","9939","35","99"
"2023/03/14","9904","-96","99"
"2023/03/13","10000","‐","100"
